,ai_adoption_rate,ai_budget_percentage,ai_failure_rate,ai_investment_per_employee,ai_maturity_score,ai_training_hours,annual_revenue_usd_millions,cost_reduction_percent,customer_satisfaction,employee_satisfaction_score,productivity_change_percent,remote_work_percentage,revenue_growth_percent,task_automation_rate,time_saved_per_week,ai_projects_active,ai_risk_management_score,company_age,company_founding_year,innovation_score,jobs_created,jobs_displaced,num_ai_tools_used,num_employees,regulatory_compliance_score,reskilled_employees,response_id,survey_year,years_using_ai
ai_adoption_rate,1.0,0.74447571443943,-0.6572833050469691,0.26480233714359847,0.8413387982578074,0.7284195084874339,0.19121902689035672,0.4043023957819261,0.4221410759527193,0.3298685590664665,0.6749730113276937,0.5005257906567943,0.4068394337635368,0.7036305441043931,0.622929803048416,0.5934863296118857,0.3710777898516594,0.01861531040851533,-0.0014018079693948091,0.5098636110581827,0.30598213739742314,0.27849909676202345,0.5393650610973513,0.17902378460495133,0.01400077855279824,0.2686732387516129,0.009929800603389851,0.14695586845468644,0.1940120724885635
ai_budget_percentage,0.74447571443943,1.0,-0.5270478489455744,0.3502359374940572,0.8192476916535512,0.5602359469869106,0.27977108459148764,0.32871344311053735,0.36844251661048927,0.3074260954752306,0.604105207372817,0.43580346020333827,0.34062921615560654,0.5170414240396543,0.48839048315193145,0.47649090085899587,0.3670732151397201,0.014496518789165417,-0.003169781830190987,0.44547179977290086,0.3569311294758788,0.3271953052624421,0.4005559695043215,0.2718917437707698,0.01078006660203753,0.3214559134816431,0.0047483257162904535,0.09683207995623345,0.13852685948862103
ai_failure_rate,-0.6572833050469691,-0.5270478489455744,1.0,-0.1947538656988527,-0.6977490359304356,-0.7395699362798787,-0.18872332235561037,-0.2881562296721284,-0.43476527354370925,-0.3358638909479252,-0.5936673934040165,-0.33077788658563,-0.3220414871990613,-0.46253897193862825,-0.4312901313158906,-0.44435901782313586,-0.31292479565978426,-0.013362967236528318,0.0020721754501782427,-0.3858514269517051,-0.2599820243812057,-0.23770644549114728,-0.3515710779260168,-0.17947367116886154,-0.00388717195020774,-0.2725289808606407,-0.004394056797199744,-0.09646044135801046,-0.09831629702308775
ai_investment_per_employee,0.26480233714359847,0.3502359374940572,-0.1947538656988527,1.0,0.2971081169227138,0.2042154389800511,0.2779056881247812,0.11757884516878347,0.1329622587996901,0.1108911017945221,0.21870670297428715,0.14797991618253517,0.12186110611267272,0.1819202614142563,0.17262377800183024,0.18272368142376957,0.13638850604613623,0.017157433911661604,-0.013716956139189034,0.1616871612386718,-0.0240513869793585,-0.02797410694680628,0.14392366627765846,-0.05636889899191155,0.00112250471485126,-0.02916609522968157,-0.013685615753078747,0.030167174861961778,0.04380928294103615
ai_maturity_score,0.8413387982578074,0.8192476916535512,-0.6977490359304356,0.2971081169227138,1.0,0.8216962212156511,0.3092691282435566,0.3861623998435124,0.45878943826607776,0.3806722371173719,0.7373138002177617,0.44344784913771695,0.40318972954200655,0.5900480207070552,0.5677627220990397,0.8043377890390425,0.44583989131416735,0.015484437444426534,-0.001944374052366065,0.531789864708187,0.3980653071551906,0.36479284397136363,0.4540161162202104,0.298856692462116,0.010925183176816282,0.3880396753207854,0.0069962257958422576,0.11564462305509725,0.1550644039231573
ai_training_hours,0.7284195084874339,0.5602359469869106,-0.7395699362798787,0.2042154389800511,0.8216962212156511,1.0,0.221786352099199,0.32831446646929036,0.4156376729207601,0.3353482721985222,0.633739515442246,0.3618493547532503,0.34784091194278705,0.5132590468527244,0.4861475824536574,0.455232826821743,0.36553837735359407,0.01213784373127907,0.00013168599094067314,0.4444963601137426,0.3015742797559101,0.2757139083407438,0.3938112299314552,0.21265326306825746,0.008029878094243034,0.3440711096389912,0.007489142669861927,0.10468106027113887,0.13453899930634663
annual_revenue_usd_millions,0.19121902689035672,0.27977108459148764,-0.18872332235561037,0.2779056881247812,0.3092691282435566,0.221786352099199,1.0,0.10208443570769797,0.1305816546331392,0.11677599394162338,0.2157494906932254,0.08895995862368611,0.11060544111614062,0.13347624795768737,0.1410322053095035,0.255953588853075,0.17260320348638267,-0.0034658147121512015,0.003558811609215048,0.15172219415035143,0.7023701934618486,0.6733668517618432,0.1022309298475267,0.7480314096508964,-0.0013446918067258158,0.677356565326856,0.0008576106342849628,0.0005829346241171914,0.020463258599143067
cost_reduction_percent,0.4043023957819261,0.32871344311053735,-0.2881562296721284,0.11757884516878347,0.3861623998435124,0.32831446646929036,0.10208443570769797,1.0,0.2058879339478446,0.14795856406006394,0.3458547933254307,0.18713927114914608,0.1909823998358558,0.48436158334652346,0.40104216210121413,0.2894528621520806,0.17164576067625298,0.006114370023622962,0.0009542369158113264,0.22263802575842156,0.14963110295539156,0.1730772742888662,0.2188655925340315,0.09728292520441087,0.006637711467690863,0.13567002863272895,0.0046168925198126496,0.06025590715482881,0.07287013074102562
customer_satisfaction,0.4221410759527193,0.36844251661048927,-0.43476527354370925,0.1329622587996901,0.45878943826607776,0.4156376729207601,0.1305816546331392,0.2058879339478446,1.0,0.1903281937376632,0.5698208730166552,0.21168954413804741,0.2770190459063144,0.34587849390662184,0.3145677782229528,0.3392645844731946,0.2048551574942789,0.010656709847291817,-0.0035242605619396424,0.24880843677292108,0.17702571377352172,0.17242667474609807,0.2269320695493994,0.1242572485478247,0.007297241728610866,0.17479374956237562,0.002343986942064862,0.06106560427092961,0.06890798915988687
employee_satisfaction_score,0.3298685590664665,0.3074260954752306,-0.3358638909479252,0.1108911017945221,0.3806722371173719,0.3353482721985222,0.11677599394162338,0.14795856406006394,0.1903281937376632,1.0,0.29043626167164877,0.16835933994791452,0.1582303155268453,0.22834741098526568,0.21825903023260393,0.2889041811589891,0.17179563278566146,0.010023330560696445,-0.004419911736872833,0.2031744943611033,0.15270391284344006,0.13980974705390206,0.17562518996822946,0.11297856125855048,0.0012684590057506395,0.15115388503757435,0.000628727516482292,0.04807225593321177,0.0609035653819365
