response_id,int64
company_id,str
survey_year,int64
quarter,str
country,str
region,str
industry,str
company_size,str
num_employees,int64
annual_revenue_usd_millions,float64
company_founding_year,int64
company_age,int64
company_age_group,str
ai_adoption_rate,float64
ai_adoption_stage,str
years_using_ai,int64
ai_primary_tool,str
num_ai_tools_used,int64
ai_use_case,str
ai_projects_active,int64
ai_training_hours,float64
ai_budget_percentage,float64
ai_maturity_score,float64
ai_failure_rate,float64
ai_investment_per_employee,float64
regulatory_compliance_score,int64
data_privacy_level,str
ai_ethics_committee,str
ai_risk_management_score,int64
remote_work_percentage,float64
employee_satisfaction_score,float64
task_automation_rate,float64
time_saved_per_week,float64
productivity_change_percent,float64
jobs_displaced,int64
jobs_created,int64
reskilled_employees,int64
revenue_growth_percent,float64
cost_reduction_percent,float64
innovation_score,int64
customer_satisfaction,float64
survey_source,str
data_collection_method,str
dtype:,object
